timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782664835109,473,Login Request,200,OK,Shopping 4-11,text,true,,2814,290,3,7,https://dummyjson.com/auth/login,473,0,160
1782664835464,135,Login Request,200,OK,Login Users 1-14,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,135,0,0
1782664835330,316,Checkout Request,200,OK,Shopping 4-10,text,true,,2020,218,3,6,https://dummyjson.com/carts/user/1,316,0,0
1782664835583,100,Products Request,200,OK,Shopping 4-11,text,true,,45104,565,3,6,https://dummyjson.com/products,85,0,0
1782664835433,255,Products Request,200,OK,Products 2-15,text,true,,45102,181,1,6,https://dummyjson.com/products,242,0,160
1782664835412,311,Cart Request,201,Created,Shopping 4-9,text,true,,1309,310,3,6,https://dummyjson.com/carts/add,311,0,0
1782664835599,133,Login Request,200,OK,Login Users 1-14,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,133,0,0
1782664835688,98,Products Request,200,OK,Products 2-15,text,true,,45102,181,1,7,https://dummyjson.com/products,84,0,0
1782664835421,408,Login Request,200,OK,Login Users 1-15,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,408,0,274
1782664835733,136,Login Request,200,OK,Login Users 1-14,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,136,0,0
1782664835786,97,Products Request,200,OK,Products 2-15,text,true,,45104,181,1,6,https://dummyjson.com/products,84,0,0
1782664835646,316,Login Request,200,OK,Shopping 4-10,text,true,,2810,292,4,8,https://dummyjson.com/auth/login,316,0,0
1782664835830,136,Login Request,200,OK,Login Users 1-15,text,true,,5249,259,2,8,https://quickpizza.grafana.com/login,136,0,0
1782664835883,94,Products Request,200,OK,Products 2-15,text,true,,45104,181,2,8,https://dummyjson.com/products,80,0,0
1782664835684,318,Cart Request,201,Created,Shopping 4-11,text,true,,1307,310,4,8,https://dummyjson.com/carts/add,318,0,0
1782664835723,313,Checkout Request,200,OK,Shopping 4-9,text,true,,2020,218,4,8,https://dummyjson.com/carts/user/1,313,0,0
1782664835962,100,Products Request,200,OK,Shopping 4-10,text,true,,45108,565,3,7,https://dummyjson.com/products,85,0,0
1782664835977,95,Products Request,200,OK,Products 2-15,text,true,,45102,181,2,7,https://dummyjson.com/products,81,0,0
1782664835966,134,Login Request,200,OK,Login Users 1-15,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,134,0,0
1782664835932,251,Products Request,200,OK,Products 2-16,text,true,,45100,181,1,6,https://dummyjson.com/products,239,0,156
1782664836100,131,Login Request,200,OK,Login Users 1-15,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,131,0,0
1782664835778,483,Login Request,200,OK,Shopping 4-12,text,true,,2820,290,3,6,https://dummyjson.com/auth/login,483,0,166
1782664836183,95,Products Request,200,OK,Products 2-16,text,true,,45092,181,1,6,https://dummyjson.com/products,80,0,0
1782664836002,315,Checkout Request,200,OK,Shopping 4-11,text,true,,2030,218,3,6,https://dummyjson.com/carts/user/1,315,0,0
1782664835920,412,Login Request,200,OK,Login Users 1-16,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,412,0,276
1782664836261,101,Products Request,200,OK,Shopping 4-12,text,true,,45106,565,3,6,https://dummyjson.com/products,87,0,0
1782664836232,131,Login Request,200,OK,Login Users 1-15,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,131,0,0
1782664836279,94,Products Request,200,OK,Products 2-16,text,true,,45100,181,1,5,https://dummyjson.com/products,80,0,0
1782664836062,314,Cart Request,201,Created,Shopping 4-10,text,true,,1311,310,3,5,https://dummyjson.com/carts/add,314,0,0
1782664836332,138,Login Request,200,OK,Login Users 1-16,text,true,,5249,259,2,8,https://quickpizza.grafana.com/login,138,0,0
1782664836373,99,Products Request,200,OK,Products 2-16,text,true,,45110,181,2,8,https://dummyjson.com/products,84,0,0
1782664836472,95,Products Request,200,OK,Products 2-16,text,true,,45102,181,2,8,https://dummyjson.com/products,80,0,0
1782664836470,133,Login Request,200,OK,Login Users 1-16,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,133,0,0
1782664836318,318,Login Request,200,OK,Shopping 4-11,text,true,,2814,292,4,7,https://dummyjson.com/auth/login,318,0,0
1782664836363,315,Cart Request,201,Created,Shopping 4-12,text,true,,1307,310,4,7,https://dummyjson.com/carts/add,315,0,0
1782664836433,257,Products Request,200,OK,Products 2-17,text,true,,45106,181,1,7,https://dummyjson.com/products,243,0,159
1782664836377,313,Checkout Request,200,OK,Shopping 4-10,text,true,,2016,218,4,7,https://dummyjson.com/carts/user/1,313,0,0
1782664836636,100,Products Request,200,OK,Shopping 4-11,text,true,,45112,565,3,6,https://dummyjson.com/products,84,0,0
1782664836604,137,Login Request,200,OK,Login Users 1-16,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,137,0,0
1782664836690,95,Products Request,200,OK,Products 2-17,text,true,,45104,181,1,6,https://dummyjson.com/products,79,0,0
1782664836420,406,Login Request,200,OK,Login Users 1-17,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,406,0,270
1782664836741,132,Login Request,200,OK,Login Users 1-16,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,132,0,0
1782664836785,92,Products Request,200,OK,Products 2-17,text,true,,45104,181,1,5,https://dummyjson.com/products,77,0,0
1782664836445,479,Login Request,200,OK,Shopping 4-13,text,true,,2808,290,3,6,https://dummyjson.com/auth/login,479,0,163
1782664836826,134,Login Request,200,OK,Login Users 1-17,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,134,0,0
1782664836878,96,Products Request,200,OK,Products 2-17,text,true,,45106,181,2,7,https://dummyjson.com/products,80,0,0
1782664836678,316,Checkout Request,200,OK,Shopping 4-12,text,true,,2024,218,3,7,https://dummyjson.com/carts/user/1,316,0,0
